courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
966,NSCI,3470U,Anatomy of Human Movement,Neuroscience,"Anatomy of Human Movement covers the applied anatomy of the musculoskeletal system. It uses a regional approach to develop a sound understanding of regional structures, and their role in producing movement, both individually and synergistically as part of movement patterns and composite movements. The course is a hybrid course which uses a combination of online lecture material and quizzes, face-to-face classroom time for case studies and concept reinforcement, and ‘hands-on’ laboratories in addition to models and specialized 3‐D computer software to aid students in their learning.",3,3,,,KINE 2000U  and HLSC 3470U,NSCI 2400U,2,,,KINE 2000U,,,,
967,NSCI,4410U,Integrative Neuroscience Thesis Project I,Neuroscience,"The thesis project provides students with the opportunity, under the supervision of a faculty member, to integrate and synthesize knowledge gained throughout their program of study and to satisfy specific objectives and requirements. The project will be selected to include research that has been approved by the supervising faculty member. Students will submit a progress report at the end of the first semester. Once all work is completed, each student must submit a thesis and make a presentation based on their research in the following semester.",3,,,Students are expected to take NSCI 4420U in the following semester.,,Students will have completed 90 credit hours in their area of specialization and be in clear standing. Students must obtain prior consent of a faculty member.,,Yes,,,9,,,
968,NSCI,4414U,Advanced Topics in Neuromuscular Physiology and Pathophysiology,Neuroscience,This course investigates advanced topics in neuromuscular physiology and pathology that are important for the control of human movement. There is a focus on the neurophysiology underlying human movement pathologies with a contextual integration of the principles of advanced neuroscience to neuromuscular rehabilitation.,3,3,1.5,,KINE 4414U  and HLSC 4414U,NSCI 3410U,,,,KINE 4414U,,,,
969,NSCI,4420U,Integrative Neuroscience Thesis Project II,Neuroscience,A continuation of the project started in NSCI 4410U. Students will make presentations based on their research and submit a written thesis.,3,,,Students are expected to take this course immediately after NSCI 4410U .,,NSCI 4410U,,Yes,,,9,,,
970,NSCI,4808U,Exploring Mental Health and Developmental Disabilities,Neuroscience,"This course integrates perspectives on the physiology, psychology, epidemiology and sociology of people with mental health issues and developmental disabilities (including dual diagnosis) and the implications for overall health and wellbeing. Key areas of both mental illness and developmental disabilities will be discussed; including schizophrenia, psychosis, depression, anxiety, violence and abuse, suicide, bullying, addiction, obsessive compulsive disorder, autism spectrum disorder, intellectual disabilities, Down syndrome, attention deficit hyperactivity disorder, learning disabilities, how these conditions are related to each other and dual diagnoses.",3,3,,,HLSC 4808U,"Completed 84 credit hours, and registration in the Integrative Neuroscience program.",,,,HLSC 4808U,,,,
971,NSCI,4999U,Advanced Topics in Integrative Neuroscience,Neuroscience,"This advanced course covers a comprehensive examination of the field of neuroscience by reading and presenting papers from the primary research literature. Topics may include but are not limited to: neural development, neurobiology of movement and disease, neuropharmacology, molecular neurobiology, neurobiology of behavior, neurochemistry and the neuroscience of model organisms and invertebrates. Students will be required to give an oral presentation based on a primary research paper. Group projects will also include the preparation and peer review of a research grant proposal.",3,3,,,,Fourth year standing in the Integrative Neuroscience program.,,Yes,,,,,,
972,NUCL,1530U,Radiation and Nuclear Technologies,Nuclear,"This course provides an introduction and overview of the application of radiation and nuclear technologies in society with particular emphasis on energy production, the environment and medicine. The importance of safety in general and radiation safety in particular is also covered. A principal aim of the course is to provide students with a broad overview of the many practical applications of radiation and nuclear technologies and the role of scientists and engineers in the development of these technologies for the betterment of society and the protection of the environment.",3,3,1.5 biweekly,,,,,,,,,,,
973,NUCL,2010U,Thermodynamic Cycles,Nuclear,"Introduction and basic concepts; energy, energy transfer, and general energy analysis; properties of pure substances (regular fluids, supercritical fluids, gases, and reactor coolants); energy analysis of closed systems; First Law of Thermodynamics; mass and energy analysis of control volumes; Second Law of Thermodynamics; entropy; exergy; Carnot cycle; gas-power cycles; vapor- and combined-power cycles; supercritical-pressure Rankine cycle; nuclear plants power cycles; and refrigeration cycles.  Nuclear power plant and supercritical plant layouts.  Thermodynamic-property relations; T-s diagrams; gas mixtures; gas-vapor mixtures, and air-conditioning; chemical reactions; chemical and phase equilibrium; and compressible flow.",3,3,1.5,,"MECE 2320U , ENGR 2010U",PHY 1010U and MATH 1020U,1.5 (biweekly),,,,,,,
974,NUCL,2500U,Introduction to Nuclear Physics,Nuclear,"An introduction to nuclear and reactor physics. Topics include: elements of relativity, radioactivity, alpha, beta and gamma decay; binding energy, interaction of radiation with matter; neutron cross sections, neutron scattering and absorption; fission; fusion; neutron density and flux, neutron diffusion, diffusion equation; neutron multiplication factor and reactivity, reactor equation, four and six factor formulae, neutron flux distribution, flux flattening, nuclear energy and applications of radioisotopes in various fields.",3,3,1,,ENGR 2500U,MATH 1020U and PHY 1020U,,Yes,,,,,,
975,NUCL,2860U,Fluid Mechanics,Nuclear,"Fundamentals of fluid mechanics, including: properties of fluids and their units; fluid static. Kinematics of fluids, conservation of mass and the continuity equation. Dynamics of fluids; Euler equation; Bernoulli equation. The energy equation; energy grade lines. Flow of viscous fluids; laminar and turbulent flows; flow in pipes and fittings; the Moody diagram. Flows around immersed bodies; lift and drag on bodies. Boundary layers; flow separation. Flow measurement techniques.",3,3,1,,"ENGR 2860U, MECE 2860U",MATH 1020U and PHY 1010U,2 (biweekly),Yes,,,,,,
